cohort,source_skill_id,source_skill_name,source_repo,target_skill_id,target_candidate,resolution,evidence_type,confidence,local_path,line_no,evidence_text
popular,clickhouse-clickhouse-claude-skills-build-skill-md,build,ClickHouse/ClickHouse,,build,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/clickhouse-clickhouse-claude-skills-build-skill-md/content/SKILL.md,9,# ClickHouse Build Skill
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ComposioHQ/awesome-claude-skills,,docx,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/composiohq-awesome-claude-skills-document-skills-docx-skill-md/content/ooxml.md,281,# Example output: /mnt/skills/docx/scripts/document.py
popular,composiohq-awesome-claude-skills-skill-creator-skill-md,skill-creator,ComposioHQ/awesome-claude-skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/composiohq-awesome-claude-skills-skill-creator-skill-md/content/SKILL.md,44,"**Metadata Quality:** The `name` and `description` in YAML frontmatter determine when Claude will use the skill. Be specific about what the skill does and when to use it. Use the third-person (e.g. ""This skill should be used when..."" instead of ""Use this skill when..."")."
popular,composiohq-awesome-claude-skills-skill-creator-skill-md,skill-creator,ComposioHQ/awesome-claude-skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/composiohq-awesome-claude-skills-skill-creator-skill-md/content/SKILL.md,173,"3. In practice, how should Claude use the skill? All reusable skill contents developed above should be referenced so that Claude knows how to use them."
popular,composiohq-awesome-claude-skills-skill-creator-skill-md,skill-creator,ComposioHQ/awesome-claude-skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/composiohq-awesome-claude-skills-skill-creator-skill-md/content/SKILL.md,206,1. Use the skill on real tasks
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-context7-auto-research-skill-md,context7-auto-research,davila7/claude-code-templates,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-context7-auto-research-skill-md/content/SKILL.md,30,- Use the skill's auto-trigger feature for seamless integration
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-fine-tuning-llama-factory-skill-md,llama-factory,davila7/claude-code-templates,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-fine-tuning-llama-factory-skill-md/content/SKILL.md,28,*Quick reference patterns will be added as you use the skill.*
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-fine-tuning-unsloth-skill-md,unsloth,davila7/claude-code-templates,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-fine-tuning-unsloth-skill-md/content/SKILL.md,28,*Quick reference patterns will be added as you use the skill.*
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-gepetto-skill-md,gepetto,davila7/claude-code-templates,,gepetto,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-gepetto-skill-md/content/README.md,458,~/.claude/skills/gepetto/
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-jira-skill-md,jira,davila7/claude-code-templates,,jira,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-jira-skill-md/content/references/mcp.md,291,"~/.claude/skills/jira/jira-link-issues PROJ-123 PROJ-456 ""Depends On"""
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-jira-skill-md,jira,davila7/claude-code-templates,,jira,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-jira-skill-md/content/references/mcp.md,294,"~/.claude/skills/jira/jira-link-issues PROJ-100 PROJ-200 ""Blocks"""
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-jira-skill-md,jira,davila7/claude-code-templates,,jira,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-jira-skill-md/content/references/mcp.md,297,"~/.claude/skills/jira/jira-link-issues PROJ-50 PROJ-75 ""Relates To"""
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,65,**Result:** Creates `~/.claude/skills/loki-mode/SKILL.md`
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,73,mkdir -p ~/.claude/skills/loki-mode/references
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,76,curl -o ~/.claude/skills/loki-mode/SKILL.md \
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,80,curl -o ~/.claude/skills/loki-mode/references/agents.md \
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,84,curl -o ~/.claude/skills/loki-mode/references/deployment.md \
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,88,curl -o ~/.claude/skills/loki-mode/references/business-ops.md \
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,150,cat ~/.claude/skills/loki-mode/SKILL.md | head -10
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,221,ls -la ~/.claude/skills/loki-mode/SKILL.md
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,226,cat ~/.claude/skills/loki-mode/SKILL.md | head -5
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7/claude-code-templates,,loki-mode,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content/INSTALLATION.md,258,wget -O ~/.claude/skills/loki-mode/SKILL.md \
