cohort,skill_id,skill_name,script_relpath,script_ext,script_bytes,op_read,op_write,op_delete,op_exec,op_network,op_credentials_access,matched_ops,evidence_patterns
popular,anthropics-claude-cookbooks-claude-skills-cookbook-audit-skill-md,cookbook-audit,validate_notebook.py,.py,18217,1,1,0,1,0,1,read;write;exec;credentials_access,"read=python_json_load | write=shell_redirect,mkdir,copy_move | exec=python_subprocess,shell_interpreter | credentials_access=credential_words"
popular,anthropics-claude-cookbooks-skills-custom-skills-analyzing-financial-statements-skill-md,analyzing-financial-statements,calculate_ratios.py,.py,12872,0,1,0,0,0,0,write,"write=python_json_dump,shell_redirect"
popular,anthropics-claude-cookbooks-skills-custom-skills-analyzing-financial-statements-skill-md,analyzing-financial-statements,interpret_ratios.py,.py,16469,0,1,0,0,0,0,write,"write=shell_redirect,copy_move"
popular,anthropics-claude-cookbooks-skills-custom-skills-applying-brand-guidelines-skill-md,applying-brand-guidelines,apply_brand.py,.py,15286,0,1,0,0,0,0,write,write=shell_redirect
popular,anthropics-claude-cookbooks-skills-custom-skills-applying-brand-guidelines-skill-md,applying-brand-guidelines,validate_brand.py,.py,10575,1,1,0,1,0,0,read;write;exec,read=python_json_load | write=shell_redirect | exec=shell_interpreter
popular,anthropics-claude-cookbooks-skills-custom-skills-creating-financial-models-skill-md,creating-financial-models,dcf_model.py,.py,17213,0,1,0,0,0,0,write,write=shell_redirect
popular,anthropics-claude-cookbooks-skills-custom-skills-creating-financial-models-skill-md,creating-financial-models,sensitivity_analysis.py,.py,11543,0,1,0,0,0,0,write,write=shell_redirect
popular,anthropics-skills-skills-algorithmic-art-skill-md,algorithmic-art,templates/generator_template.js,.js,7826,0,1,0,1,0,0,write;exec,"write=shell_redirect | exec=python_exec,js_child_process"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/__init__.py,.py,1,0,0,0,0,0,0,,
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/accept_changes.py,.py,4051,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir,copy_move | exec=python_subprocess"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/comment.py,.py,10694,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/helpers/__init__.py,.py,0,0,0,0,0,0,0,,
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/helpers/merge_runs.py,.py,5567,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/helpers/simplify_redlines.py,.py,5754,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/pack.py,.py,4991,0,1,0,1,0,0,write;exec,"write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/soffice.py,.py,5301,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/unpack.py,.py,4052,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/validate.py,.py,3668,0,0,0,1,0,0,exec,exec=shell_interpreter
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/validators/__init__.py,.py,336,0,0,0,0,0,0,,
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/validators/base.py,.py,32651,1,1,1,0,0,0,read;write;delete,"read=python_open_read,python_read_text | write=python_write_text,shell_redirect,copy_move | delete=js_unlink"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/validators/docx.py,.py,16376,1,1,0,0,0,0,read;write,"read=python_read_text | write=python_write_text,shell_redirect"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/validators/pptx.py,.py,9824,0,1,0,0,0,0,write,"write=shell_redirect,copy_move"
popular,anthropics-skills-skills-docx-skill-md,docx,scripts/office/validators/redlining.py,.py,8918,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,anthropics-skills-skills-mcp-builder-skill-md,mcp-builder,scripts/connections.py,.py,4875,0,1,0,0,0,0,write,write=shell_redirect
popular,anthropics-skills-skills-mcp-builder-skill-md,mcp-builder,scripts/evaluation.py,.py,12579,0,1,0,1,0,1,write;exec;credentials_access,"write=python_write_text,python_json_dump,shell_redirect | exec=shell_interpreter | credentials_access=credential_words"
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/check_bounding_boxes.py,.py,2774,1,1,0,0,0,0,read;write,read=python_json_load | write=shell_redirect
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/check_fillable_fields.py,.py,268,0,0,0,0,0,0,,
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/convert_pdf_to_images.py,.py,1008,0,1,0,0,0,0,write,write=shell_redirect
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/create_validation_image.py,.py,1258,1,0,0,0,0,0,read,"read=python_open_read,python_json_load"
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/extract_form_field_info.py,.py,4300,0,1,0,0,0,0,write,"write=python_open_write,python_json_dump"
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/extract_form_structure.py,.py,3945,0,1,0,1,0,0,write;exec,"write=python_open_write,python_json_dump,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/fill_fillable_fields.py,.py,3819,1,1,0,0,0,0,read;write,read=python_json_load | write=python_open_write
popular,anthropics-skills-skills-pdf-skill-md,pdf,scripts/fill_pdf_form_with_annotations.py,.py,3235,1,1,0,0,0,0,read;write,"read=python_open_read,python_json_load | write=python_open_write"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/__init__.py,.py,0,0,0,0,0,0,0,,
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/add_slide.py,.py,6872,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/clean.py,.py,9583,1,1,1,1,0,0,read;write;delete;exec,"read=python_read_text | write=python_open_write,shell_redirect,copy_move | delete=js_unlink | exec=shell_interpreter"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/helpers/__init__.py,.py,0,0,0,0,0,0,0,,
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/helpers/merge_runs.py,.py,5567,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/helpers/simplify_redlines.py,.py,5754,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/pack.py,.py,4991,0,1,0,1,0,0,write;exec,"write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/soffice.py,.py,5301,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/unpack.py,.py,4052,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/validate.py,.py,3668,0,0,0,1,0,0,exec,exec=shell_interpreter
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/validators/__init__.py,.py,336,0,0,0,0,0,0,,
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/validators/base.py,.py,32651,1,1,1,0,0,0,read;write;delete,"read=python_open_read,python_read_text | write=python_write_text,shell_redirect,copy_move | delete=js_unlink"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/validators/docx.py,.py,16376,1,1,0,0,0,0,read;write,"read=python_read_text | write=python_write_text,shell_redirect"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/validators/pptx.py,.py,9824,0,1,0,0,0,0,write,"write=shell_redirect,copy_move"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/office/validators/redlining.py,.py,8918,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,anthropics-skills-skills-pptx-skill-md,pptx,scripts/thumbnail.py,.py,8785,0,1,0,1,0,0,write;exec,"write=shell_redirect,mkdir,copy_move | exec=python_subprocess,shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,eval-viewer/generate_review.py,.py,16365,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,python_json_dump,shell_redirect,mkdir,copy_move | exec=python_subprocess,shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/__init__.py,.py,0,0,0,0,0,0,0,,
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/aggregate_benchmark.py,.py,14386,1,1,0,1,0,0,read;write;exec,"read=python_json_load | write=python_open_write,python_json_dump,shell_redirect,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/generate_report.py,.py,12847,1,1,0,1,0,0,read;write;exec,"read=python_read_text,python_json_load | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/improve_description.py,.py,10723,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,python_json_dump,shell_redirect,mkdir | exec=shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/package_skill.py,.py,4234,0,1,0,1,0,0,write;exec,"write=shell_redirect,mkdir | exec=shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/quick_validate.py,.py,3972,1,1,0,1,0,0,read;write;exec,read=python_read_text | write=shell_redirect | exec=shell_interpreter
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/run_eval.py,.py,11464,1,1,1,1,0,0,read;write;delete;exec,"read=python_read_text | write=python_write_text,python_json_dump,shell_redirect,mkdir,copy_move | delete=js_unlink | exec=python_subprocess,shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/run_loop.py,.py,13685,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,python_json_dump,shell_redirect,mkdir | exec=shell_interpreter"
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,scripts/utils.py,.py,1661,1,1,0,0,0,0,read;write,read=python_read_text | write=shell_redirect
popular,anthropics-skills-skills-slack-gif-creator-skill-md,slack-gif-creator,core/easing.py,.py,6265,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,anthropics-skills-skills-slack-gif-creator-skill-md,slack-gif-creator,core/frame_composer.py,.py,4548,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,anthropics-skills-skills-slack-gif-creator-skill-md,slack-gif-creator,core/gif_builder.py,.py,9847,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,anthropics-skills-skills-slack-gif-creator-skill-md,slack-gif-creator,core/validators.py,.py,3785,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,anthropics-skills-skills-web-artifacts-builder-skill-md,web-artifacts-builder,scripts/bundle-artifact.sh,.sh,1517,1,1,1,1,0,0,read;write;delete;exec,read=shell_cat | write=shell_redirect | delete=shell_rm | exec=shell_interpreter
popular,anthropics-skills-skills-web-artifacts-builder-skill-md,web-artifacts-builder,scripts/init-artifact.sh,.sh,9924,1,1,0,1,0,0,read;write;exec,"read=js_read_file,shell_cat | write=js_write_file,shell_redirect,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-webapp-testing-skill-md,webapp-testing,examples/console_logging.py,.py,1027,0,1,0,0,0,0,write,"write=python_open_write,copy_move"
popular,anthropics-skills-skills-webapp-testing-skill-md,webapp-testing,examples/element_discovery.py,.py,1463,0,0,0,0,0,0,,
popular,anthropics-skills-skills-webapp-testing-skill-md,webapp-testing,examples/static_html_automation.py,.py,953,0,0,0,0,0,0,,
popular,anthropics-skills-skills-webapp-testing-skill-md,webapp-testing,scripts/with_server.py,.py,3693,0,0,0,1,0,0,exec,"exec=python_subprocess,shell_interpreter"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/helpers/__init__.py,.py,0,0,0,0,0,0,0,,
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/helpers/merge_runs.py,.py,5567,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/helpers/simplify_redlines.py,.py,5754,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect | exec=shell_interpreter"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/pack.py,.py,4991,0,1,0,1,0,0,write;exec,"write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/soffice.py,.py,5301,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/unpack.py,.py,4052,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/validate.py,.py,3668,0,0,0,1,0,0,exec,exec=shell_interpreter
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/validators/__init__.py,.py,336,0,0,0,0,0,0,,
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/validators/base.py,.py,32651,1,1,1,0,0,0,read;write;delete,"read=python_open_read,python_read_text | write=python_write_text,shell_redirect,copy_move | delete=js_unlink"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/validators/docx.py,.py,16376,1,1,0,0,0,0,read;write,"read=python_read_text | write=python_write_text,shell_redirect"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/validators/pptx.py,.py,9824,0,1,0,0,0,0,write,"write=shell_redirect,copy_move"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/office/validators/redlining.py,.py,8918,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,scripts/recalc.py,.py,5782,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,python_json_dump,shell_redirect,mkdir | exec=python_subprocess,shell_interpreter"
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,core/__init__.py,.py,1,0,0,0,0,0,0,,
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,core/easing.py,.py,6265,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,core/frame_composer.py,.py,4548,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,core/gif_builder.py,.py,9847,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,core/validators.py,.py,3785,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,composiohq-awesome-claude-skills-artifacts-builder-skill-md,artifacts-builder,scripts/bundle-artifact.sh,.sh,1517,1,1,1,1,0,0,read;write;delete;exec,read=shell_cat | write=shell_redirect | delete=shell_rm | exec=shell_interpreter
popular,composiohq-awesome-claude-skills-artifacts-builder-skill-md,artifacts-builder,scripts/init-artifact.sh,.sh,9924,1,1,0,1,0,0,read;write;exec,"read=js_read_file,shell_cat | write=js_write_file,shell_redirect,copy_move | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/pack.py,.py,5596,1,1,1,1,0,0,read;write;delete;exec,"read=python_open_read | write=python_open_write,mkdir,copy_move | delete=js_unlink | exec=python_subprocess,shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/unpack.py,.py,1037,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/validate.py,.py,1959,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/validation/__init__.py,.py,336,0,0,0,0,0,0,,
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/validation/base.py,.py,39892,1,1,1,0,0,0,read;write;delete,"read=python_open_read | write=shell_redirect,copy_move | delete=js_unlink"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/validation/docx.py,.py,9996,0,1,0,0,0,0,write,write=shell_redirect
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/validation/pptx.py,.py,12327,0,1,0,0,0,0,write,"write=shell_redirect,copy_move"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,ooxml/scripts/validation/redlining.py,.py,11179,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,scripts/__init__.py,.py,65,0,0,0,1,0,0,exec,exec=shell_interpreter
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,scripts/document.py,.py,50409,1,1,1,1,0,0,read;write;delete;exec,"read=shell_cat | write=shell_redirect,copy_move | delete=python_remove | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,scripts/utilities.py,.py,13694,1,1,0,1,0,0,read;write;exec,"read=python_open_read | write=python_write_text,shell_redirect,copy_move | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/check_bounding_boxes.py,.py,3139,1,1,0,0,0,0,read;write,read=python_json_load | write=shell_redirect
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/check_bounding_boxes_test.py,.py,8818,0,1,0,0,0,0,write,write=python_json_dump
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/check_fillable_fields.py,.py,362,0,0,0,0,0,0,,
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/convert_pdf_to_images.py,.py,1123,0,1,0,0,0,0,write,write=shell_redirect
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/create_validation_image.py,.py,1603,1,0,0,0,0,0,read,"read=python_open_read,python_json_load"
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/extract_form_field_info.py,.py,6127,0,1,0,0,0,0,write,"write=python_open_write,python_json_dump"
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/fill_fillable_fields.py,.py,4863,1,1,0,1,0,0,read;write;exec,read=python_json_load | write=python_open_write | exec=shell_interpreter
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,scripts/fill_pdf_form_with_annotations.py,.py,3596,1,1,0,0,0,0,read;write,"read=python_open_read,python_json_load | write=python_open_write"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/pack.py,.py,5596,1,1,1,1,0,0,read;write;delete;exec,"read=python_open_read | write=python_open_write,mkdir,copy_move | delete=js_unlink | exec=python_subprocess,shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/unpack.py,.py,1037,1,1,0,1,0,0,read;write;exec,"read=python_read_text | write=python_write_text,shell_redirect,mkdir | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/validate.py,.py,1959,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/validation/__init__.py,.py,336,0,0,0,0,0,0,,
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/validation/base.py,.py,39892,1,1,1,0,0,0,read;write;delete,"read=python_open_read | write=shell_redirect,copy_move | delete=js_unlink"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/validation/docx.py,.py,9996,0,1,0,0,0,0,write,write=shell_redirect
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/validation/pptx.py,.py,12327,0,1,0,0,0,0,write,"write=shell_redirect,copy_move"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,ooxml/scripts/validation/redlining.py,.py,11179,0,1,1,1,0,0,write;delete;exec,"write=python_write_text,shell_redirect | delete=js_unlink | exec=python_subprocess"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,scripts/html2pptx.js,.js,37795,0,1,0,1,0,0,write;exec,"write=js_write_file,shell_redirect,copy_move | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,scripts/inventory.py,.py,38126,0,1,0,1,0,0,write;exec,"write=python_open_write,python_json_dump,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,scripts/rearrange.py,.py,8514,0,1,1,1,0,0,write;delete;exec,"write=shell_redirect,mkdir,copy_move | delete=js_unlink | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,scripts/replace.py,.py,13594,1,1,1,1,0,0,read;write;delete;exec,"read=python_open_read,python_json_load | write=shell_redirect,copy_move | delete=js_unlink | exec=shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,scripts/thumbnail.py,.py,15484,0,1,0,1,0,0,write;exec,"write=shell_redirect,mkdir | exec=python_subprocess,shell_interpreter"
popular,composiohq-awesome-claude-skills-document-skills-xlsx-skill-md,xlsx,recalc.py,.py,6408,1,1,0,1,0,0,read;write;exec,"read=python_open_read | write=python_open_write,python_json_dump,shell_redirect,mkdir | exec=python_subprocess,shell_interpreter"
popular,composiohq-awesome-claude-skills-mcp-builder-skill-md,mcp-builder,scripts/connections.py,.py,4875,0,1,0,0,0,0,write,write=shell_redirect
popular,composiohq-awesome-claude-skills-mcp-builder-skill-md,mcp-builder,scripts/evaluation.py,.py,12579,0,1,0,1,0,1,write;exec;credentials_access,"write=python_write_text,python_json_dump,shell_redirect | exec=shell_interpreter | credentials_access=credential_words"
