cohort,source_skill_id,source_skill_name,source_repo,target_skill_id,target_candidate,resolution,evidence_type,confidence,local_path,line_no,evidence_text,reviewer,is_true_dependency,target_corrected,mechanism_label,notes
popular,pytorch-pytorch-claude-skills-triaging-issues-skill-md,triaging-issues,pytorch/pytorch,c0ntr0lledcha0s-claude-code-plugin-automations-github-workflows-skills-triaging-issues-skill-md,triaging-issues,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/pytorch-pytorch-claude-skills-triaging-issues-skill-md/content/SKILL.md,14,"command: ""python3 \""$CLAUDE_PROJECT_DIR\""/.claude/skills/triaging-issues/scripts/add_bot_triaged.py""",,,,,
random,dennislee928-smart-zone-claude-skills-google-gemini-file-search-skill-md,google-gemini-file-search,dennislee928/Smart_Zone,,google-gemini-file-search,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/dennislee928-smart-zone-claude-skills-google-gemini-file-search-skill-md/content/PROJECT_STATUS.md,91,- [ ] Install skill to `~/.claude/skills/google-gemini-file-search/`,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-creative-design-draw-io-skill-md,draw-io,davila7/claude-code-templates,,draw-io,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-creative-design-draw-io-skill-md/content/README.md,215,~/.claude/skills/draw-io/,,,,,
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,,continuous-learning,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/evaluate-session.sh,16,"#         ""command"": ""~/.claude/skills/continuous-learning/evaluate-session.sh""",,,,,
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,,continuous-learning,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md/content/SKILL.md,64,"""command"": ""~/.claude/skills/continuous-learning/evaluate-session.sh""",,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-daily-meeting-update-skill-md,daily-meeting-update,davila7/claude-code-templates,,daily-meeting-update,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-daily-meeting-update-skill-md/content/SKILL.md,293,python3 ~/.claude/skills/daily-meeting-update/scripts/claude_digest.py --format json,,,,,
popular,clickhouse-clickhouse-claude-skills-build-skill-md,build,ClickHouse/ClickHouse,,build,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/clickhouse-clickhouse-claude-skills-build-skill-md/content/SKILL.md,9,# ClickHouse Build Skill,,,,,
random,withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md,fixing-bugs,withzombies/hyperpowers,,debugging-with-tools,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md/content/SKILL.md,561,- Don't understand bug → Use debugging-with-tools skill,,,,,
random,withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md,fixing-bugs,withzombies/hyperpowers,,debugging-with-tools,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md/content/SKILL.md,104,**REQUIRED: Use debugging-with-tools skill**,,,,,
random,zerobearing2-rails-ai-skills-project-setup-skill-md,rails-aiproject-setup,zerobearing2/rails-ai,,domain,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/zerobearing2-rails-ai-skills-project-setup-skill-md/content/SKILL.md,85,**Why use domain skills first?**,,,,,
random,withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md,fixing-bugs,withzombies/hyperpowers,,test-driven-development,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md/content/SKILL.md,127,**REQUIRED: Use test-driven-development skill**,,,,,
random,withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md,fixing-bugs,withzombies/hyperpowers,,verification-before-completion,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md/content/SKILL.md,176,**REQUIRED: Use verification-before-completion skill**,,,,,
random,withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md,fixing-bugs,withzombies/hyperpowers,,debugging-with-tools,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md/content/SKILL.md,494,2. **Use debugging-with-tools skill** → Systematic investigation required,,,,,
random,jetaofgak-healthflowfinal-claude-skills-writing-plans-skill-md,writing-plans,Jetaofgak/HealthFlowFinal,,executing-plans,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/jetaofgak-healthflowfinal-claude-skills-writing-plans-skill-md/content/SKILL.md,32,> **For Claude:** REQUIRED SUB-SKILL: use executing-plans skill to implement this plan task-by-task.,,,,,
random,withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md,fixing-bugs,withzombies/hyperpowers,,debugging-with-tools,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/withzombies-hyperpowers-agents-skills-fixing-bugs-skill-md/content/SKILL.md,435,**Use debugging-with-tools skill:**,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-business-marketing-app-store-optimization-skill-md,app-store-optimization,davila7/claude-code-templates,,marketing,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-business-marketing-app-store-optimization-skill-md/content/SKILL.md,384,- If you need paid advertising strategies (use marketing skills instead),,,,,
random,desdat1-xopweb-claude-skills-vercel-skill-md,vercel,desdat1/xopweb,,resend,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/desdat1-xopweb-claude-skills-vercel-skill-md/content/SKILL.md,98,"For Next.js App Router patterns, see the **nextjs** skill. For email sending with Resend, see the **resend** skill.",,,,,
popular,anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md,command-development,anthropics/claude-code,,coding-standards,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md/content/SKILL.md,737,Use coding-standards skill for validation.,,,,,
random,desdat1-xopweb-claude-skills-vercel-skill-md,vercel,desdat1/xopweb,,resend,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/desdat1-xopweb-claude-skills-vercel-skill-md/content/references/workflows.md,195,"For email sending configuration, see the **resend** skill. For Next.js App Router patterns used in API routes, see the **nextjs** skill. For TypeScript configuration affecting builds, see the **typescript** skill.",,,,,
random,jetaofgak-healthflowfinal-claude-skills-writing-plans-skill-md,writing-plans,Jetaofgak/HealthFlowFinal,,executing-plans,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/jetaofgak-healthflowfinal-claude-skills-writing-plans-skill-md/content/SKILL.md,91,"Ask user if they want to execute the plan now or later. If they want to execute it now, use executing-plans skill to execute the plan. If they want to execute it later, ask them to execute it later.",,,,,
popular,google-gemini-gemini-cli-packages-core-src-skills-builtin-skill-creator-skill-md,skill-creator,google-gemini/gemini-cli,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/google-gemini-gemini-cli-packages-core-src-skills-builtin-skill-creator-skill-md/content/SKILL.md,314,"- `description`: This is the primary triggering mechanism for your skill, and helps Gemini CLI understand when to use the skill.",,,,,
popular,leonardomso-33-js-concepts-claude-skills-concept-workflow-skill-md,concept-workflow,leonardomso/33-js-concepts,,individual,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/leonardomso-33-js-concepts-claude-skills-concept-workflow-skill-md/content/SKILL.md,22,"**For partial tasks, use individual skills instead:**",,,,,
popular,dotnet-maui-github-skills-run-integration-tests-skill-md,run-integration-tests,dotnet/maui,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/dotnet-maui-github-skills-run-integration-tests-skill-md/content/SKILL.md,157,# Option 1: Use the skill script,,,,,
random,tyler-r-kendrick-agent-skills-skills-tools-git-skill-md,git,Tyler-R-Kendrick/agent-skills,,platform-specific,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/tyler-r-kendrick-agent-skills-skills-tools-git-skill-md/content/SKILL.md,6,"DO NOT USE FOR: GitHub/GitLab platform features (use platform-specific skills), CI/CD pipeline configuration, Git LFS administration",,,,,
random,azure99-skill-creator-skills-skill-creator-skill-md,skill-creator,Azure99/skill-creator,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/azure99-skill-creator-skills-skill-creator-skill-md/content/SKILL.md,451,1. Use the skill on real tasks,,,,,
random,smkun-32gamers-claude-skills-crafting-page-messaging-skill-md,crafting-page-messaging,smkun/32Gamers,smkun-32gamers-claude-skills-vanilla-javascript-skill-md,vanilla-javascript,same_repo_unique,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/smkun-32gamers-claude-skills-crafting-page-messaging-skill-md/content/SKILL.md,115,"For implementing copy in code, see the **vanilla-javascript** skill.",,,,,
random,desdat1-xopweb-claude-skills-vercel-skill-md,vercel,desdat1/xopweb,desdat1-xopweb-claude-skills-typescript-skill-md,typescript,same_repo_unique,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/desdat1-xopweb-claude-skills-vercel-skill-md/content/references/workflows.md,195,"For email sending configuration, see the **resend** skill. For Next.js App Router patterns used in API routes, see the **nextjs** skill. For TypeScript configuration affecting builds, see the **typescript** skill.",,,,,
random,delphine-l-claude-global-skills-claude-meta-skill-management-skill-md,claude-skill-management,Delphine-L/claude_global,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/delphine-l-claude-global-skills-claude-meta-skill-management-skill-md/content/SKILL.md,906,"- Try explicitly mentioning: ""Use the skill-name skill to...""",,,,,
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/SKILL.md,225,**Use the skill-reviewer agent:**,,,,,
popular,dotnet-maui-github-skills-pr-finalize-skill-md,pr-finalize,dotnet/maui,dotnet-maui-github-skills-ai-summary-comment-skill-md,ai-summary-comment,same_repo_unique,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/dotnet-maui-github-skills-pr-finalize-skill-md/content/SKILL.md,36,| `gh pr review --comment` | ❌ **NEVER** | Use ai-summary-comment skill instead |,,,,,
random,stuartf303-vandaemon-claude-skills-mudblazor-skill-md,mudblazor,StuartF303/vandaemon,stuartf303-vandaemon-claude-skills-blazor-skill-md,blazor,same_repo_unique,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/stuartf303-vandaemon-claude-skills-mudblazor-skill-md/content/SKILL.md,110,- See the **blazor** skill for component lifecycle and SignalR integration,,,,,
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/references/skill-creator-original.md,206,1. Use the skill on real tasks,,,,,
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/SKILL.md,424,"**Running test cases**: No subagents means no parallel execution. For each test case, read the skill's SKILL.md, then follow its instructions to accomplish the test prompt yourself. Do them one at a time. This is less rigorous than independent subagents (you wrote the skill and you're also running it, so you have full context), but it's a useful sanity check — and the human review step compensates. Skip the baseline runs — just use the skill to complete the task as requested.",,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-context7-auto-research-skill-md,context7-auto-research,davila7/claude-code-templates,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-context7-auto-research-skill-md/content/SKILL.md,30,- Use the skill's auto-trigger feature for seamless integration,,,,,
popular,dotnet-maui-github-skills-issue-triage-skill-md,issue-triage,dotnet/maui,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/dotnet-maui-github-skills-issue-triage-skill-md/content/SKILL.md,49,**🚨 CRITICAL: ALWAYS use the skill scripts. NEVER use ad-hoc GitHub API queries.**,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-development-web-to-markdown-skill-md,web-to-markdown,davila7/claude-code-templates,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-web-to-markdown-skill-md/content/README.md,99,use the skill web-to-markdown to convert https://example.com/article and print the result,,,,,
random,atilamedeiros-skills-voice-ai-engine-development-skill-md,voice-ai-engine-development,AtilaMedeiros/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/atilamedeiros-skills-voice-ai-engine-development-skill-md/content/README.md,19,# Use the skill in your AI assistant,,,,,
popular,google-gemini-gemini-cli-packages-core-src-skills-builtin-skill-creator-skill-md,skill-creator,google-gemini/gemini-cli,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/google-gemini-gemini-cli-packages-core-src-skills-builtin-skill-creator-skill-md/content/SKILL.md,379,1. Use the skill on real tasks,,,,,
random,rsicarelli-fakt-claude-skills-interface-analyzer-skill-md,interface-analyzer,rsicarelli/fakt,,generic-scoping-analyzer,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/rsicarelli-fakt-claude-skills-interface-analyzer-skill-md/content/SKILL.md,489,Use generic-scoping-analyzer Skill,,,,,
random,daymade-claude-code-skills-repomix-unmixer-skill-md,repomix-unmixer,daymade/claude-code-skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/daymade-claude-code-skills-repomix-unmixer-skill-md/content/references/validation-workflow.md,161,Use the skill-creator validation tools for comprehensive validation.,,,,,
popular,obra-superpowers-skills-using-superpowers-skill-md,using-superpowers,obra/superpowers,obra-superpowers-skills-brainstorming-skill-md,brainstorming,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-using-superpowers-skill-md/content/SKILL.md,41,"""Already brainstormed?"" -> ""Invoke brainstorming skill"" [label=""no""];",,,,,
random,edheltzel-atlas-claudecode-claude-skills-research-skill-md,research,edheltzel/atlas,edheltzel-atlas-claudecode-claude-skills-osint-skill-md,osint,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/edheltzel-atlas-claudecode-claude-skills-research-skill-md/content/SKILL.md,65,"**CRITICAL:** For due diligence, company/person background checks, or vetting -> **INVOKE OSINT SKILL INSTEAD**",,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-creative-design-meme-factory-skill-md,meme-factory,davila7/claude-code-templates,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-creative-design-meme-factory-skill-md/content/README.md,126,1. **Invoke the skill:**,,,,,
popular,obra-superpowers-skills-brainstorming-skill-md,brainstorming,obra/superpowers,,writing-plans.,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-brainstorming-skill-md/content/SKILL.md,55,"**The terminal state is invoking writing-plans.** Do NOT invoke frontend-design, mcp-builder, or any other implementation skill. The ONLY skill you invoke after brainstorming is writing-plans.",,,,,
popular,obra-superpowers-skills-using-superpowers-skill-md,using-superpowers,obra/superpowers,obra-superpowers-skills-brainstorming-skill-md,brainstorming,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-using-superpowers-skill-md/content/SKILL.md,43,"""Invoke brainstorming skill"" -> ""Might any skill apply?"";",,,,,
popular,obra-superpowers-skills-using-superpowers-skill-md,using-superpowers,obra/superpowers,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-using-superpowers-skill-md/content/SKILL.md,7,"If you think there is even a 1% chance a skill might apply to what you are doing, you ABSOLUTELY MUST invoke the skill.",,,,,
popular,obra-superpowers-skills-using-superpowers-skill-md,using-superpowers,obra/superpowers,,a,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-using-superpowers-skill-md/content/SKILL.md,16,"**In Claude Code:** Use the `Skill` tool. When you invoke a skill, its content is loaded and presented to you—follow it directly. Never use the Read tool on skill files.",,,,,
random,kellyson520-tg-one-agent-skills-skill-master-skill-md,skill-master,kellyson520/TG-ONE,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/kellyson520-tg-one-agent-skills-skill-master-skill-md/content/SKILL.md,154,**Goal**: Invoke the skill to complete the user's original task.,,,,,
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/scripts/improve_description.py,51,"The description appears in Claude's ""available_skills"" list. When a user sends a query, Claude decides whether to invoke the skill based solely on the title and on this description. Your goal is to write a description that triggers for relevant queries, and doesn't trigger for irrelevant ones.",,,,,
popular,obra-superpowers-skills-using-superpowers-skill-md,using-superpowers,obra/superpowers,obra-superpowers-skills-brainstorming-skill-md,brainstorming,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-using-superpowers-skill-md/content/SKILL.md,31,"""Invoke brainstorming skill"" [shape=box];",,,,,
random,d-o-hub-github-template-ai-agents-claude-skills-skill-creator-skill-md,skill-creator,d-o-hub/github-template-ai-agents,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/d-o-hub-github-template-ai-agents-claude-skills-skill-creator-skill-md/content/SKILL.md,63,The description is **critical** - Claude uses it to decide when to invoke the skill.,,,,,
popular,obra-superpowers-skills-brainstorming-skill-md,brainstorming,obra/superpowers,obra-superpowers-skills-writing-plans-skill-md,writing-plans,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-brainstorming-skill-md/content/SKILL.md,51,"""Write design doc"" -> ""Invoke writing-plans skill"";",,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-humanizer-skill-md,humanizer,davila7/claude-code-templates,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-productivity-humanizer-skill-md/content/README.md,25,"In Claude Code, invoke the skill:",,,,,
popular,obra-superpowers-skills-brainstorming-skill-md,brainstorming,obra/superpowers,obra-superpowers-skills-writing-plans-skill-md,writing-plans,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-brainstorming-skill-md/content/SKILL.md,43,"""Invoke writing-plans skill"" [shape=doublecircle];",,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-development-using-superpowers-skill-md,using-superpowers,davila7/claude-code-templates,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-using-superpowers-skill-md/content/SKILL.md,18,**Check for skills BEFORE ANY RESPONSE.** This includes clarifying questions. Even 1% chance means invoke the Skill tool first.,,,,,
random,pluginagentmarketplace-custom-plugin-css-skills-css-architecture-skill-md,css-architecture,pluginagentmarketplace/custom-plugin-css,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/pluginagentmarketplace-custom-plugin-css-skills-css-architecture-skill-md/content/references/GUIDE.md,20,# Invoke the skill,,,,,
