review_bucket,cohort,skill_id,skill_name,author,stars,file_count,skill_md_words,taxonomy_labels,security_risk_score,security_positive_score,github_url,local_content_path
security_high,random,cyotee-compound-v3-comet-skill-opencode-skills-comet-bulker-skill-md,comet-bulker,cyotee,0,1,1137,coding_dev;security,29,0,https://github.com/cyotee/compound-V3-comet-skill/tree/main/.opencode/skills/comet-bulker,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/cyotee-compound-v3-comet-skill-opencode-skills-comet-bulker-skill-md/content
security_high,random,soborbo-claudeskills-design-tokens-skill-md,design-tokens,Soborbo,1,4,529,product_design,27,0,https://github.com/Soborbo/claudeskills/tree/main/design-tokens,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/soborbo-claudeskills-design-tokens-skill-md/content
security_high,random,cameronapak-freedom-stack-v3-agents-skills-bknd-session-handling-skill-md,bknd-session-handling,cameronapak,24,1,2116,coding_dev;security;workflow_automation;product_design,26,2,https://github.com/cameronapak/freedom-stack-v3/tree/main/.agents/skills/bknd-session-handling,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/cameronapak-freedom-stack-v3-agents-skills-bknd-session-handling-skill-md/content
security_high,random,supercorks-agent-skills-slack-reader-skill-md,slack-reader,SuperCorks,0,2313,1027,coding_dev;security;workflow_automation;integration_tools,16,0,https://github.com/SuperCorks/agent-skills/tree/main/slack-reader,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/supercorks-agent-skills-slack-reader-skill-md/content
security_high,random,openclaw-skills-skills-imthatcarlos-clawdvine-skill-latest-skill-md,clawdvine,openclaw,834,8,8517,coding_dev;security;workflow_automation;integration_tools,14,1,https://github.com/openclaw/skills/tree/main/skills/imthatcarlos/clawdvine-skill-latest,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-imthatcarlos-clawdvine-skill-latest-skill-md/content
security_high,random,raintree-technology-claude-starter-claude-skills-supabase-skill-md,supabase-expert,raintree-technology,43,2,6378,coding_dev;devops_infra;data_ml_ai;security;documentation_writing;workflow_automation;integration_tools,9,4,https://github.com/raintree-technology/claude-starter/tree/main/.claude/skills/supabase,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/raintree-technology-claude-starter-claude-skills-supabase-skill-md/content
security_high,random,barrydobson-dotfiles-extra-packages-claude-claude-skills-github-actions-skill-md,github-actions,barrydobson,0,1,6813,coding_dev;devops_infra;security;workflow_automation;integration_tools,3,8,https://github.com/barrydobson/dotfiles_extra/tree/main/packages/claude/.claude/skills/github-actions,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/barrydobson-dotfiles-extra-packages-claude-claude-skills-github-actions-skill-md/content
security_high,random,dmccreary-claude-skills-skills-microsim-generator-skill-md,microsim-generator,dmccreary,16,59,3095,coding_dev;documentation_writing;workflow_automation,1,4,https://github.com/dmccreary/claude-skills/tree/main/skills/microsim-generator,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/dmccreary-claude-skills-skills-microsim-generator-skill-md/content
structure_heavy,random,henriquemoreira-f-droid-factory-template-skills-browser-skill-md,browser,HenriqueMoreira-f,1,4091,262,coding_dev;documentation_writing;research_analysis;workflow_automation,0,1,https://github.com/HenriqueMoreira-f/droid-factory-template/tree/main/skills/browser,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/henriquemoreira-f-droid-factory-template-skills-browser-skill-md/content
structure_heavy,random,partme-ai-full-stack-skills-skills-uniappx-project-skill-md,uniappx-project,partme-ai,67,127,381,coding_dev;documentation_writing;product_design;integration_tools,0,1,https://github.com/partme-ai/full-stack-skills/tree/main/skills/uniappx-project,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/partme-ai-full-stack-skills-skills-uniappx-project-skill-md/content
structure_heavy,random,benchflow-ai-skillsbench-tasks-no-skills-organize-messy-files-environment-skills-docx-skill-md,docx,benchflow-ai,307,59,1491,coding_dev;documentation_writing;research_analysis;workflow_automation,0,3,https://github.com/benchflow-ai/skillsbench/tree/main/tasks-no-skills/organize-messy-files/environment/skills/docx,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/benchflow-ai-skillsbench-tasks-no-skills-organize-messy-files-environment-skills-docx-skill-md/content
instruction_long,random,catlog22-claude-code-workflow-codex-skills-analyze-with-file-skill-md,analyze-with-file,catlog22,1276,2,4746,coding_dev;devops_infra;documentation_writing;research_analysis;workflow_automation,0,4,https://github.com/catlog22/Claude-Code-Workflow/tree/main/.codex/skills/analyze-with-file,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/catlog22-claude-code-workflow-codex-skills-analyze-with-file-skill-md/content
instruction_long,random,wighawag-hardhat-deploy-skills-hardhat-deploy-migration-skill-md,hardhat-deploy-migration,wighawag,1267,1,6122,coding_dev;devops_infra;security;documentation_writing;workflow_automation;integration_tools,0,1,https://github.com/wighawag/hardhat-deploy/tree/main/skills/hardhat-deploy-migration,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/wighawag-hardhat-deploy-skills-hardhat-deploy-migration-skill-md/content
